id,name,type,production,year,sex,birth,ethnicity,frequency
1stToDie,1st to Die,0,5,3,99,99,99,99
300RiseOfAnEmpire,300: Rise of an Empire,0,5,4,99,99,99,99
AWalkToRemember,A Walk to Remember,0,5,3,99,99,99,99
BeautifulGirls,Beautiful Girls,0,1,2,99,99,99,99
BladeRunner,Blade Runner,0,5,1,99,99,99,99
Bounce,Bounce,0,1,3,99,99,99,99
ChelseaWalls,Chelsea Walls,0,5,3,99,99,99,99
DarkSummer,Dark Summer,0,5,3,99,99,99,99
DeLaGuerre,De la guerre,0,5,3,99,99,99,99
DevilsAdvocate,Devils Advocate,0,5,2,99,99,99,99
DevilsHighway,Devil's Highway,0,5,3,99,99,99,99
DirtyDancingHavanaNights,Dirty Dancing: Havana Nights,0,1,3,99,99,99,99
DrJekyllAndMsHyde,Dr Jekyll and Ms Hyde,0,5,2,99,99,99,99
Entropy,Entropy,0,5,2,99,99,99,99
EvenCowgirlsGetTheBlues,Even Cowgirls Get the Blues,0,5,2,99,99,99,99
Exotica,Exotica,0,1,2,99,99,99,99
Frida,Frida,0,1,3,99,99,99,99
GetOverIt,Get Over It,0,1,3,99,99,99,99
Gossip,Gossip,0,5,3,99,99,99,99
HollywoodDreams,Hollywood Dreams,0,5,3,99,99,99,99
Jenifer,Jenifer,0,5,3,99,99,99,99
KillBillVol1,Kill Bill: Vol. 1,0,1,3,99,99,99,99
Lourdes,Lourdes,0,5,3,99,99,99,99
NewRoseHotel,New Rose Hotel,0,5,2,99,99,99,99
NormaJeanAndMarilyn,Norma Jean & Marilyn,0,5,2,99,99,99,99
NymphomaniacVol1,Nymphomaniac: Vol. 1,0,5,4,99,99,99,99
PerfectSense,Perfect Sense,0,5,4,99,99,99,99
Possession,Possession,0,5,3,99,99,99,99
PulpFiction,Pulp Fiction ,0,1,2,99,99,99,99
ShannonsRainbow,Shannon's Rainbow,0,99,3,99,99,99,99
SkyCaptainAndTheWorldOfTomorrow,Sky Captain and the World of Tomorrow,0,4,3,99,99,99,99
TheAdventuresOfBaronMunchausen,The Adventures of Baron Munchausen,0,5,1,99,99,99,99
TheFaceOfAnAngel,The Face of an Angel,0,5,4,99,99,99,99
TheGoldenBowl,The Golden Bowl,0,1,3,99,99,99,99
TheGreatRaid,The Great Raid,0,1,3,99,99,99,99
TheHourOfThePig,The Hour of the Pig,0,5,2,99,99,99,99
TheLastDaysOfDisco,The Last Days of Disco,0,5,2,99,99,99,99
TheWholeNineYards,The Whole Nine Yards,0,5,3,99,99,99,99
UneVieilleMaitresse,Une Vieille Maîtresse,0,5,3,99,99,99,99
WallStreet,Wall Street,0,5,1,99,99,99,99
WelcomeToHollywood,Welcome to Hollywood,0,5,2,99,99,99,99
Winter,Winter,0,5,4,99,99,99,99
AnthonyLysette,Lysette Anthony,1,99,99,1,2,2,1
ArgentoAsia,Asia Argento,1,99,99,1,3,3,2
ArquetteRosanna,Rosanna Arquette,1,99,99,1,1,7,2
BeckinsaleKate,Kate Beckinsale,1,99,99,1,3,2,3
CoughlanMarisa,Marisa Coughlan,1,99,99,1,3,7,2
DarelFlorence,Florence Darel,1,99,99,1,2,3,1
DeLaHuertaPaz,Paz de la Huerta,1,99,99,1,4,7,2
DelevigneCara,Cara Delevigne,1,99,99,1,5,2,1
DixSophie,Sophie Dix,1,99,99,1,2,2,1
EvansAlice,Alice Evans,1,99,99,1,3,2,1
EverhartAngie,Angie Everhart,1,99,99,1,2,7,1
ForlaniClaire,Claire Forlani,1,99,99,1,3,2,2
GaraiRomola,Romola Garai,1,99,99,1,4,2,2
GodrecheJudith,Judith Godreche,1,99,99,1,3,2,1
GomesLarissa,Larissa Gomes,1,99,99,1,99,7,2
GreenEva,Eva Green,1,99,99,1,3,2,1
HannahDaryl,Daryl Hannah,1,99,99,1,1,7,2
HayekSalma,Salma Hayek,1,99,99,1,2,7,2
HeadeyLena,Lena Headey,1,99,99,1,3,2,2
HenstridgeNatasha,Natasha Henstridge,1,99,99,1,3,7,2
HollyLauren,Lauren Holly,1,99,99,1,2,7,2
HynesJessica,Jessica Hynes,1,99,99,1,3,2,2
JolieAngelina,Jolie Angelina,1,99,99,1,3,7,1
JuddAshley,Ashley Judd,1,99,99,1,2,7,2
KellyMinka,Minka Kelly,1,99,99,1,3,7,1
KirshnerMia,Mia Kirshner,1,99,99,1,3,7,2
MaltheNatassia,Natassia Malthe,1,99,99,1,3,5,2
MarguliesJulianna,Julianna Margulies,1,99,99,1,2,7,2
MatthauAshley,Ashley Matthau,1,99,99,1,99,7,2
MendozaNatalie,Natalie Mendoza,1,99,99,1,3,7,2
NielsenConnie,Connie Nielsen,1,99,99,1,2,2,2
PaltrowGwyneth,Gwyneth Paltrow,1,99,99,1,3,7,3
PolleySarah,Sarah Polley,1,99,99,1,3,7,2
SagemillerMelissa,Melissa Sagemiller,1,99,99,1,3,7,2
SciorraAnnabella,Annabella Sciorra,1,99,99,1,1,7,2
SeydouxLea,Lea Seydoux ,1,99,99,1,4,2,2
SorvinoMira,Mira Sorvino,1,99,99,1,2,7,3
SubkoffTara,Tara Subkoff,1,99,99,1,3,7,1
ThurmanUma,Uma Thurman,1,99,99,1,2,7,3
YoungSean,Sean Young,1,99,99,1,1,7,2
